,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
374,2015-07-23,South Asia,India,"Failed attack, robbery",Product tanker,0,Anchorage,22.9743794444444,70.2364794444444,Evening,1,0,2015,7,30,23,3,2015-07
373,2015-07-24,South Asia,India,Theft at anchorage,Product tanker,0,Anchorage,22.999483611111103,70.2294158333333,Night,1,1,2015,7,30,24,4,2015-07
372,2015-07-24,West Africa,Nigeria,"Failed attack, kidnap/ransom",Supply vessel,0,Off shore,4.86666666666667,8.26666666666667,Morning,1,0,2015,7,30,24,4,2015-07
371,2015-07-25,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.06333333333333,103.65666666666701,Night,1,1,2015,7,30,25,5,2015-07
370,2015-07-26,South East Asia,Malaysia,Armed robbery at sea,Unknown vessel type,0,Off shore,4.870588611111111,99.04724111111109,Unknown,1,1,2015,7,30,26,6,2015-07
369,2015-07-26,South East Asia,Singapore,"Failed attack, robbery",Crude oil tanker,0,Off shore,0.999064444444444,103.539962777778,Unknown,1,0,2015,7,30,26,6,2015-07
368,2015-07-26,South East Asia,Malaysia,Armed robbery at sea,Fishing vessel,0,Off shore,4.88333333333333,98.6166666666667,Unknown,1,1,2015,7,30,26,6,2015-07
367,2015-07-26,West Africa,Angola,Suspicious activity at sea,Unknown vessel type,0,Off shore,-6.58333333333333,1.5,Unknown,1,0,2015,7,30,26,6,2015-07
365,2015-07-26,South East Asia,Philippines,Theft at anchorage,Product tanker,0,Anchorage,7.18333333333333,125.666666666667,Night,1,1,2015,7,30,26,6,2015-07
366,2015-07-26,South East Asia,Indonesia,Theft at berth,Tanker,0,Berth,1.6866666666666699,101.471666666667,Night,1,1,2015,7,30,26,6,2015-07
364,2015-07-27,South East Asia,Indonesia,Theft at sea,Product tanker,0,Off shore,1.06,103.611666666667,Night,1,1,2015,7,31,27,0,2015-07
363,2015-07-27,West Africa,Nigeria,"Failed attack, kidnap/ransom",Unknown vessel type,0,Off shore,4.83333333333333,8.28333333333333,Morning,1,0,2015,7,31,27,0,2015-07
362,2015-07-27,West Africa,Nigeria,Armed robbery at sea,Passenger vessel,0,Off shore,4.83333333333333,5.66666666666667,Afternoon,1,1,2015,7,31,27,0,2015-07
361,2015-07-28,South East Asia,Singapore,Theft at sea,Tug,0,Off shore,1.24135805555556,104.164123611111,Unknown,1,1,2015,7,31,28,1,2015-07
360,2015-07-29,South East Asia,Malaysia,Theft at sea,Supply vessel,0,Off shore,1.725,104.566666666667,Morning,1,1,2015,7,31,29,2,2015-07
359,2015-07-30,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.07333333333333,103.661666666667,Night,1,0,2015,7,31,30,3,2015-07
358,2015-07-31,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.1,103.733333333333,Night,1,0,2015,7,31,31,4,2015-07
357,2015-08-01,South East Asia,Philippines,Theft at anchorage,Other,0,Anchorage,13.738333333333301,121.038333333333,Evening,1,1,2015,8,31,1,5,2015-08
355,2015-08-02,Americas,Venezuela,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,10.4985244444444,-61.320983611111096,Unknown,1,0,2015,8,31,2,6,2015-08
356,2015-08-02,South East Asia,Singapore,"Failed attack, robbery",Container ship,0,Off shore,1.03476416666667,103.682785,Unknown,1,0,2015,8,31,2,6,2015-08
352,2015-08-03,South East Asia,Indonesia,Armed robbery at sea,Chemical tanker,0,Off shore,3.9383333333333304,98.7466666666667,Morning,1,1,2015,8,32,3,0,2015-08
353,2015-08-03,South East Asia,Singapore,"Failed attack, robbery",Other,0,Off shore,1.08666666666667,103.583333333333,Night,1,0,2015,8,32,3,0,2015-08
354,2015-08-03,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Berth,1.0525,103.618333333333,Night,1,0,2015,8,32,3,0,2015-08
351,2015-08-05,West Africa,Nigeria,Armed robbery at sea,Passenger vessel,0,Off shore,4.718871111111111,6.7736297222222195,Unknown,1,1,2015,8,32,5,2,2015-08
348,2015-08-06,South East Asia,Malaysia,Theft at sea,Tug,0,Off shore,1.08333333333333,103.733333333333,Evening,1,1,2015,8,32,6,3,2015-08
349,2015-08-06,Eastern Mediterranean,Bahrain,Other maritime risk,Fishing vessel,0,Off shore,26.436065000000003,50.875671111111096,Unknown,1,1,2015,8,32,6,3,2015-08
347,2015-08-06,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.045,103.641666666667,Evening,1,1,2015,8,32,6,3,2015-08
350,2015-08-06,South East Asia,Indonesia,Theft at sea,Bulk carrier,0,Off shore,1.075,103.541333333333,Unknown,1,1,2015,8,32,6,3,2015-08
346,2015-08-07,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,4.5,6.41666666666667,Evening,1,1,2015,8,32,7,4,2015-08
345,2015-08-08,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,2.56666666666667,101.43666666666701,Evening,1,1,2015,8,32,8,5,2015-08
344,2015-08-09,South East Asia,Indonesia,Armed robbery at anchorage,Bulk carrier,0,Anchorage,-2.2933333333333303,114.47,Unknown,1,1,2015,8,32,9,6,2015-08
343,2015-08-09,South East Asia,Indonesia,Armed robbery at sea,Crude oil tanker,0,Off shore,1.08833333333333,103.615,Night,1,1,2015,8,32,9,6,2015-08
342,2015-08-10,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.09666666666667,103.56166666666701,Morning,1,1,2015,8,33,10,0,2015-08
341,2015-08-12,South East Asia,Indonesia,"Failed attack, robbery",Crude oil tanker,0,Off shore,1.12333333333333,103.51833333333299,Night,1,0,2015,8,33,12,2,2015-08
340,2015-08-12,South East Asia,Indonesia,Theft at anchorage,Product tanker,0,Off shore,4.0,98.75,Morning,1,1,2015,8,33,12,2,2015-08
339,2015-08-13,South East Asia,Indonesia,"Failed attack, robbery",Container ship,0,Off shore,1.12333333333333,103.5,Morning,1,0,2015,8,33,13,3,2015-08
334,2015-08-15,South East Asia,Indonesia,"Failed attack, robbery",Container ship,0,Off shore,1.26,104.13,Morning,1,0,2015,8,33,15,5,2015-08
338,2015-08-15,South East Asia,Malaysia,Hijacking at sea,Fishing vessel,0,Off shore,6.3022275,99.24656361111109,Unknown,1,1,2015,8,33,15,5,2015-08
336,2015-08-15,South East Asia,Singapore,Armed robbery at sea,Container ship,0,Off shore,1.06333333333333,103.608833333333,Night,1,1,2015,8,33,15,5,2015-08
337,2015-08-15,West Africa,Nigeria,"Failed attack, robbery",General cargo vessel,0,Berth,6.442745277777781,3.38454888888889,Night,1,0,2015,8,33,15,5,2015-08
335,2015-08-15,South East Asia,Vietnam,Theft at anchorage,Bulk carrier,0,Anchorage,10.24,107.06,Night,1,1,2015,8,33,15,5,2015-08
333,2015-08-16,Americas,Venezuela,Theft at anchorage,General cargo vessel,0,Anchorage,10.2733333333333,-63.435,Morning,1,1,2015,8,33,16,6,2015-08
332,2015-08-17,West Africa,Nigeria,"Failed attack, robbery",Supply vessel,0,Berth,4.68333333333333,7.16666666666667,Night,1,0,2015,8,34,17,0,2015-08
328,2015-08-18,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,12.6333333333333,43.35,Afternoon,1,0,2015,8,34,18,1,2015-08
331,2015-08-18,South East Asia,China,Armed robbery at sea,Fishing vessel,0,Off shore,15.983662222222199,111.852035277778,Unknown,1,1,2015,8,34,18,1,2015-08
330,2015-08-18,Eastern Mediterranean,Yemen,Counter insurgency/military operation,Unknown vessel type,0,Berth,14.843959444444401,42.93143027777779,Unknown,1,1,2015,8,34,18,1,2015-08
329,2015-08-18,West Africa,Congo,"Failed attack, robbery",Bulk carrier,0,Anchorage,-4.12333333333333,13.028333333333302,Night,1,0,2015,8,34,18,1,2015-08
327,2015-08-20,East Africa,Somalia,Other maritime risk,Unknown vessel type,0,Off shore,13.3,58.9666666666667,Night,1,1,2015,8,34,20,3,2015-08
326,2015-08-20,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.06666666666667,103.6,Night,1,1,2015,8,34,20,3,2015-08
325,2015-08-20,South East Asia,Philippines,"Failed attack, robbery",Product tanker,0,Berth,7.17642166666667,125.656179722222,Morning,1,0,2015,8,34,20,3,2015-08
323,2015-08-21,South East Asia,Singapore,"Failed attack, robbery",Crude oil tanker,0,Off shore,1.17666666666667,103.445,Night,1,0,2015,8,34,21,4,2015-08
322,2015-08-21,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Off shore,1.12,103.496666666667,Night,1,0,2015,8,34,21,4,2015-08
321,2015-08-21,South East Asia,Indonesia,Theft at sea,Container ship,0,Off shore,1.16666666666667,103.483333333333,Night,1,1,2015,8,34,21,4,2015-08
320,2015-08-21,South East Asia,Indonesia,"Failed attack, robbery",Container ship,1,Off shore,1.168,103.502833333333,Night,1,0,2015,8,34,21,4,2015-08
319,2015-08-21,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Off shore,1.1,103.733333333333,Evening,1,0,2015,8,34,21,4,2015-08
318,2015-08-21,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.06783333333333,103.693,Evening,1,0,2015,8,34,21,4,2015-08
324,2015-08-21,Americas,Colombia,Theft at anchorage,Chemical tanker,0,Anchorage,3.82966666666667,-76.84666666666669,Night,1,1,2015,8,34,21,4,2015-08
317,2015-08-22,South East Asia,Indonesia,"Failed attack, robbery",Container ship,0,Off shore,1.12116666666667,103.52799999999999,Night,1,0,2015,8,34,22,5,2015-08
316,2015-08-22,South East Asia,Singapore,Armed robbery at sea,Product tanker,0,Off shore,1.17333333333333,103.83,Night,1,1,2015,8,34,22,5,2015-08
315,2015-08-23,South Asia,Bangladesh,Kidnap/ransom at sea,Fishing vessel,0,Off shore,21.9787802777778,89.5241691666667,Unknown,1,1,2015,8,34,23,6,2015-08
314,2015-08-24,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,3.3861666666666697,99.4583333333333,Night,1,0,2015,8,35,24,0,2015-08
313,2015-08-24,South East Asia,Indonesia,Theft at berth,Product tanker,1,Berth,3.38333333333333,99.45,Unknown,1,1,2015,8,35,24,0,2015-08
312,2015-08-24,South Asia,Bangladesh,Armed robbery at sea,Fishing vessel,0,Off shore,21.598704444444397,91.14257805555559,Evening,1,1,2015,8,35,24,0,2015-08
311,2015-08-25,South East Asia,Singapore,"Failed attack, robbery",Tanker,0,Off shore,1.05169888888889,103.666305555556,Unknown,1,0,2015,8,35,25,1,2015-08
310,2015-08-25,South Asia,Bangladesh,"Failed attack, robbery",Unknown vessel type,0,Off shore,21.904225555555602,89.0733791666667,Unknown,1,0,2015,8,35,25,1,2015-08
309,2015-08-25,South Asia,Bangladesh,Kidnap/ransom at sea,Fishing vessel,0,Off shore,21.8895722222222,89.3645166666667,Morning,1,1,2015,8,35,25,1,2015-08
308,2015-08-26,West Africa,Nigeria,Kidnap/ransom at sea,Passenger vessel,0,Off shore,4.5,6.25,Afternoon,1,1,2015,8,35,26,2,2015-08
307,2015-08-28,Americas,Colombia,Theft at anchorage,Chemical tanker,0,Anchorage,3.83633333333333,-76.84666666666669,Night,1,1,2015,8,35,28,4,2015-08
306,2015-08-28,West Africa,Nigeria,"Failed attack, robbery",Passenger vessel,0,Off shore,4.56068222222222,6.965331944444441,Morning,1,0,2015,8,35,28,4,2015-08
305,2015-08-29,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.17133333333333,103.454166666667,Night,1,1,2015,8,35,29,5,2015-08
304,2015-08-29,East Africa,Somalia,Suspicious activity at sea,Merchant vessel,0,Off shore,12.066666666666698,44.7666666666667,Afternoon,1,0,2015,8,35,29,5,2015-08
303,2015-09-01,South East Asia,Malaysia,Armed robbery at sea,Fishing vessel,0,Off shore,6.248616111111111,118.14491277777799,Evening,1,1,2015,9,36,1,1,2015-09
302,2015-09-01,South East Asia,Singapore,Suspicious activity at sea,Tug,0,Off shore,1.11787944444444,103.703430277778,Unknown,1,0,2015,9,36,1,1,2015-09
301,2015-09-04,West Africa,Nigeria,Other maritime risk,Other,0,Unknown,4.13632555555556,5.8309936111111105,Afternoon,1,1,2015,9,36,4,4,2015-09
300,2015-09-04,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.145,103.48166666666701,Evening,1,1,2015,9,36,4,4,2015-09
299,2015-09-05,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.16,103.476666666667,Unknown,1,0,2015,9,36,5,5,2015-09
298,2015-09-06,South East Asia,Singapore,Theft at anchorage,Crude oil tanker,0,Anchorage,1.275,103.99,Morning,1,1,2015,9,36,6,6,2015-09
297,2015-09-06,West Africa,Congo,Armed robbery at anchorage,Bulk carrier,0,Off shore,-5.99933333333333,12.6928333333333,Evening,1,1,2015,9,36,6,6,2015-09
296,2015-09-08,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.18333333333333,103.416666666667,Night,1,0,2015,9,37,8,1,2015-09
294,2015-09-09,South East Asia,Indonesia,Armed robbery at sea,Container ship,0,Off shore,1.11666666666667,103.516666666667,Night,1,1,2015,9,37,9,2,2015-09
293,2015-09-09,South East Asia,Singapore,"Failed attack, robbery",Crude oil tanker,0,Off shore,1.09866666666667,103.572,Morning,1,0,2015,9,37,9,2,2015-09
295,2015-09-09,South East Asia,Indonesia,"Failed attack, robbery",Tanker,0,Off shore,1.13866666666667,103.571166666667,Night,1,0,2015,9,37,9,2,2015-09
289,2015-09-12,South East Asia,Vietnam,Anti-piracy/naval operation,Fishing vessel,0,Off shore,7.4508683333333305,103.260726944444,Afternoon,1,0,2015,9,37,12,5,2015-09
292,2015-09-12,South East Asia,Indonesia,Armed robbery at berth,Tug,0,Berth,1.069,103.903833333333,Unknown,1,1,2015,9,37,12,5,2015-09
291,2015-09-12,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.1740588888888899,103.422042777778,Night,1,0,2015,9,37,12,5,2015-09
290,2015-09-12,South East Asia,Vietnam,Theft at anchorage,General cargo vessel,0,Anchorage,10.250166666666699,107.0585,Night,1,1,2015,9,37,12,5,2015-09
288,2015-09-16,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.1,103.516666666667,Night,1,1,2015,9,38,16,2,2015-09
287,2015-09-16,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.12048833333333,103.49020388888901,Night,1,1,2015,9,38,16,2,2015-09
286,2015-09-16,South East Asia,Vietnam,Theft at anchorage,Bulk carrier,0,Anchorage,10.2333333333333,107.03333333333299,Morning,1,1,2015,9,38,16,2,2015-09
285,2015-09-17,South East Asia,Indonesia,Theft at sea,Tug,0,Off shore,1.20931527777778,104.0705025,Unknown,1,1,2015,9,38,17,3,2015-09
284,2015-09-17,North Africa,Libya,Other maritime risk,Product tanker,0,Unknown,32.3463172222222,15.252674166666699,Unknown,1,1,2015,9,38,17,3,2015-09
283,2015-09-17,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Unknown,1.23166666666667,1.8466666666666698,Afternoon,1,1,2015,9,38,17,3,2015-09
282,2015-09-17,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Unknown,1.30666666666667,1.874,Afternoon,1,1,2015,9,38,17,3,2015-09
281,2015-09-18,South Asia,Bangladesh,Armed robbery at sea,Fishing vessel,0,Off shore,21.7845925,91.8824677777778,Unknown,1,1,2015,9,38,18,4,2015-09
280,2015-09-18,East Africa,Kenya,Other maritime risk,Other,0,Berth,-3.922015,39.6830519444444,Unknown,1,1,2015,9,38,18,4,2015-09
279,2015-09-18,West Africa,South Africa,"Failed attack, robbery",Product tanker,0,Off shore,-32.1,18.4333333333333,Night,1,0,2015,9,38,18,4,2015-09
278,2015-09-18,South East Asia,Philippines,Theft at berth,Product tanker,0,Berth,13.674333333333301,121.051666666667,Morning,1,1,2015,9,38,18,4,2015-09
277,2015-09-19,South East Asia,Indonesia,Armed robbery at anchorage,Crude oil tanker,0,Anchorage,1.121,103.557166666667,Night,1,1,2015,9,38,19,5,2015-09
276,2015-09-20,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.185,103.416666666667,Night,1,1,2015,9,38,20,6,2015-09
275,2015-09-20,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.06666666666667,103.683333333333,Evening,1,0,2015,9,38,20,6,2015-09
274,2015-09-21,South East Asia,Philippines,Kidnap/ransom at berth,Unknown vessel type,0,Berth,7.1974888888888895,125.70982861111099,Unknown,1,1,2015,9,39,21,0,2015-09
273,2015-09-24,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,6.5243791666666695,3.37920583333333,Unknown,1,1,2015,9,39,24,3,2015-09
272,2015-09-25,South East Asia,Indonesia,Theft at anchorage,Product tanker,1,Anchorage,3.935,98.76,Morning,1,1,2015,9,39,25,4,2015-09
271,2015-09-28,Americas,Trinidad And Tobago,Armed robbery at sea,Fishing vessel,0,Off shore,11.0006663888889,-60.3598613888889,Morning,1,1,2015,9,40,28,0,2015-09
270,2015-09-29,South East Asia,Vietnam,Armed robbery at sea,Fishing vessel,0,Off shore,16.44952,111.695938055556,Morning,1,1,2015,9,40,29,1,2015-09
269,2015-09-29,South East Asia,Indonesia,Armed robbery at anchorage,Product tanker,0,Anchorage,1.7016666666666698,101.508833333333,Night,1,1,2015,9,40,29,1,2015-09
268,2015-09-30,South East Asia,Vietnam,Armed robbery at berth,Container ship,0,Berth,10.7683333333333,106.735,Night,1,1,2015,9,40,30,2,2015-09
267,2015-09-30,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,3.70883333333333,4.72533333333333,Afternoon,1,1,2015,9,40,30,2,2015-09
266,2015-10-01,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Unknown,4.11733333333333,4.708666666666669,Morning,1,1,2015,10,40,1,3,2015-10
265,2015-10-01,South East Asia,Malaysia,Theft at anchorage,Product tanker,0,Anchorage,5.81666666666667,118.092333333333,Evening,1,1,2015,10,40,1,3,2015-10
264,2015-10-03,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Anchorage,6.11933333333333,3.3575,Unknown,1,1,2015,10,40,3,5,2015-10
263,2015-10-05,South East Asia,Indonesia,Theft at anchorage,General cargo vessel,0,Anchorage,-5.97866666666667,106.89200000000001,Night,1,1,2015,10,41,5,0,2015-10
262,2015-10-05,South East Asia,Indonesia,"Failed attack, robbery",Product tanker,0,Anchorage,3.93333333333333,98.8175,Morning,1,0,2015,10,41,5,0,2015-10
261,2015-10-06,South East Asia,Malaysia,Theft at anchorage,Product tanker,0,Anchorage,5.82166666666667,118.151666666667,Night,1,1,2015,10,41,6,1,2015-10
260,2015-10-08,East Africa,Somalia,Notice,Unknown vessel type,0,Unknown,8.71384472222222,59.1288766666667,Unknown,1,0,2015,10,41,8,3,2015-10
259,2015-10-09,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.065,103.623333333333,Evening,1,1,2015,10,41,9,4,2015-10
258,2015-10-09,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.08666666666667,103.583333333333,Night,1,1,2015,10,41,9,4,2015-10
257,2015-10-10,Eastern Mediterranean,Yemen,Counter insurgency/military operation,Unknown vessel type,0,Off shore,12.583333055555599,43.3333330555556,Unknown,1,1,2015,10,41,10,5,2015-10
256,2015-10-10,South East Asia,Philippines,"Failed attack, robbery",General cargo vessel,0,Off shore,5.4565,125.53333333333299,Morning,1,0,2015,10,41,10,5,2015-10
255,2015-10-11,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,4.98333333333333,6.31666666666667,Unknown,1,1,2015,10,41,11,6,2015-10
254,2015-10-12,South Asia,Bangladesh,Kidnap/ransom at sea,Fishing vessel,0,Off shore,21.528294166666697,89.9742877777778,Morning,1,1,2015,10,42,12,0,2015-10
252,2015-10-13,West Africa,Nigeria,Suspicious activity at sea,Unknown vessel type,0,Off shore,5.38333333333333,4.5,Morning,1,0,2015,10,42,13,1,2015-10
253,2015-10-13,North Africa,Libya,Other maritime risk,Unknown vessel type,0,Unknown,32.0681758333333,23.941751111111103,Unknown,1,1,2015,10,42,13,1,2015-10
247,2015-10-15,South East Asia,Malaysia,"Failed attack, robbery",Crude oil tanker,0,Off shore,1.25966666666667,103.445166666667,Morning,1,0,2015,10,42,15,3,2015-10
251,2015-10-15,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.11666666666667,103.5,Night,1,0,2015,10,42,15,3,2015-10
249,2015-10-15,South East Asia,Indonesia,"Failed attack, robbery",Crude oil tanker,0,Off shore,1.18166666666667,103.44,Night,1,0,2015,10,42,15,3,2015-10
248,2015-10-15,South East Asia,Indonesia,"Failed attack, robbery",Gas tanker,0,Off shore,1.212,103.441833333333,Night,1,0,2015,10,42,15,3,2015-10
250,2015-10-15,South East Asia,Indonesia,Armed robbery at anchorage,Gas tanker,0,Off shore,1.12333333333333,103.528333333333,Night,1,1,2015,10,42,15,3,2015-10
246,2015-10-16,South East Asia,Indonesia,Armed robbery at sea,General cargo vessel,0,Off shore,1.05066666666667,103.624666666667,Night,1,1,2015,10,42,16,4,2015-10
245,2015-10-16,South East Asia,Indonesia,"Failed attack, robbery",Gas tanker,0,Off shore,1.0395,103.6525,Night,1,0,2015,10,42,16,4,2015-10
244,2015-10-18,South East Asia,Vietnam,"Failed attack, robbery",Crude oil tanker,0,Anchorage,10.1116666666667,107.115,Morning,1,0,2015,10,42,18,6,2015-10
243,2015-10-19,West Africa,Nigeria,Kidnap/ransom at sea,Other,0,Off shore,3.9215,5.425,Evening,1,1,2015,10,43,19,0,2015-10
240,2015-10-20,South East Asia,Indonesia,Armed robbery at sea,Tug,0,Off shore,0.591394722222222,103.38312944444401,Morning,1,1,2015,10,43,20,1,2015-10
242,2015-10-20,South East Asia,Indonesia,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,1.09282888888889,103.384051388889,Unknown,1,0,2015,10,43,20,1,2015-10
241,2015-10-20,Americas,Colombia,"Failed attack, robbery",Product tanker,0,Anchorage,10.32,-74.48,Night,1,0,2015,10,43,20,1,2015-10
239,2015-10-21,South East Asia,Indonesia,Theft at sea,Product tanker,0,Off shore,1.11834722222222,103.765635,Night,1,1,2015,10,43,21,2,2015-10
237,2015-10-22,South East Asia,Indonesia,"Failed attack, robbery",Chemical tanker,0,Anchorage,3.88333333333333,98.7833333333333,Night,1,0,2015,10,43,22,3,2015-10
236,2015-10-22,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.11333333333333,103.53333333333299,Night,1,1,2015,10,43,22,3,2015-10
235,2015-10-22,South East Asia,Vietnam,"Failed attack, robbery",Bulk carrier,0,Anchorage,20.6916666666667,107.223333333333,Evening,1,0,2015,10,43,22,3,2015-10
238,2015-10-22,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.09770861111111,103.47877111111099,Night,1,0,2015,10,43,22,3,2015-10
234,2015-10-24,West Africa,Liberia,Theft at anchorage,Bulk carrier,0,Anchorage,6.33333333333333,-9.15,Morning,1,1,2015,10,43,24,5,2015-10
233,2015-10-24,North East Asia,South Korea,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,37.450004722222204,125.28259277777799,Afternoon,1,0,2015,10,43,24,5,2015-10
232,2015-10-25,West Africa,Cameroon,Suspicious activity at sea,Other,0,Off shore,4.35,8.4,Evening,1,0,2015,10,43,25,6,2015-10
231,2015-10-26,East Africa,Somalia,Other maritime risk,Merchant vessel,0,Off shore,11.784166666666698,63.0,Morning,1,1,2015,10,44,26,0,2015-10
230,2015-10-26,South Asia,Bangladesh,Kidnap/ransom at sea,Fishing vessel,0,Off shore,21.503319444444397,89.87341138888891,Evening,1,1,2015,10,44,26,0,2015-10
228,2015-10-27,East Africa,Oman,Suspicious activity at sea,Merchant vessel,0,Off shore,20.181166666666698,59.1916666666667,Morning,1,0,2015,10,44,27,1,2015-10
229,2015-10-27,South Asia,Bangladesh,Kidnap/ransom at sea,Fishing vessel,0,Off shore,22.2292519444444,91.3076025,Unknown,1,1,2015,10,44,27,1,2015-10
227,2015-10-29,East Africa,Tanzania,Other maritime risk,Unknown vessel type,0,Unknown,-5.20764611111111,39.2083283333333,Unknown,1,1,2015,10,44,29,3,2015-10
226,2015-10-29,South Asia,India,Theft at anchorage,Crude oil tanker,0,Anchorage,22.6666666666667,69.9333333333333,Morning,1,1,2015,10,44,29,3,2015-10
223,2015-10-31,West Africa,Congo,"Failed attack, robbery",Tanker,0,Anchorage,-3.2666666666666697,11.783333333333301,Night,1,0,2015,10,44,31,5,2015-10
225,2015-10-31,South Asia,India,Theft at anchorage,Bulk carrier,0,Anchorage,22.7738333333333,70.03716666666669,Night,1,1,2015,10,44,31,5,2015-10
224,2015-10-31,South Asia,India,Theft at anchorage,Bulk carrier,0,Anchorage,22.7738333333333,70.03716666666669,Night,1,1,2015,10,44,31,5,2015-10
222,2015-11-01,Eastern Mediterranean,Finland,Other maritime risk,Bulk carrier,0,Berth,60.1570666666667,24.9825669444444,Unknown,1,1,2015,11,44,1,6,2015-11
221,2015-11-01,South East Asia,Vietnam,"Failed attack, robbery",Container ship,0,Berth,10.7316666666667,106.76,Morning,1,0,2015,11,44,1,6,2015-11
220,2015-11-03,North Africa,Libya,Other maritime risk,Unknown vessel type,0,Unknown,32.6376402777778,14.263000555555598,Unknown,1,1,2015,11,45,3,1,2015-11
219,2015-11-03,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,-2.3,114.433333333333,Night,1,0,2015,11,45,3,1,2015-11
218,2015-11-03,Americas,Trinidad And Tobago,Armed robbery at anchorage,Tug,0,Anchorage,10.6803872222222,-60.38279250000001,Night,1,1,2015,11,45,3,1,2015-11
217,2015-11-04,North Africa,Libya,Other maritime risk,Unknown vessel type,0,Unknown,30.4035133333333,19.612364166666698,Unknown,1,1,2015,11,45,4,2,2015-11
216,2015-11-05,Eastern Mediterranean,Egypt,Other maritime risk,Unknown vessel type,0,Unknown,31.3815052777778,34.1518019444444,Unknown,1,1,2015,11,45,5,3,2015-11
215,2015-11-06,South East Asia,Indonesia,"Failed attack, robbery",Container ship,0,Anchorage,3.7928672222222204,98.7034908333333,Afternoon,1,0,2015,11,45,6,4,2015-11
214,2015-11-07,Eastern Mediterranean,Egypt,"Failed attack, robbery",Container ship,0,Off shore,31.2,29.733333333333302,Night,1,0,2015,11,45,7,5,2015-11
213,2015-11-08,West Africa,Nigeria,Kidnap/ransom at sea,Fishing vessel,0,Off shore,4.330030277777779,7.09802638888889,Morning,1,1,2015,11,45,8,6,2015-11
212,2015-11-09,West Africa,Guinea,Theft at berth,Tug,0,Berth,9.5,-12.283333333333301,Night,1,1,2015,11,46,9,0,2015-11
211,2015-11-10,South East Asia,Vietnam,"Failed attack, robbery",Container ship,0,Anchorage,10.25,107.05,Night,1,0,2015,11,46,10,1,2015-11
210,2015-11-12,South East Asia,Indonesia,Theft at anchorage,Bulk carrier,0,Anchorage,3.93333333333333,98.75,Morning,1,1,2015,11,46,12,3,2015-11
209,2015-11-13,South East Asia,Indonesia,Armed robbery at berth,Bulk carrier,0,Berth,-5.89964666666667,106.80682194444401,Night,1,1,2015,11,46,13,4,2015-11
208,2015-11-13,Americas,Usa,"Failed attack, robbery",Supply vessel,0,Berth,29.154796111111104,-89.81456277777781,Morning,1,0,2015,11,46,13,4,2015-11
